"Id","SalePrice"
1461,127774.693066667
1462,152952.683833333
1463,182563.9
1464,184781.786466667
1465,196500.593033333
1466,184674.065133333
1467,171597.979366667
1468,176043.063866667
1469,180498.578933333
1470,124850.080866667
1471,203553.902633333
1472,94959.076
1473,100676.521666667
1474,152744.912833333
1475,127872.062033333
1476,376836.399766667
1477,254801.4319
1478,301376.934466666
1479,268492.847166666
1480,452494.662333333
1481,307628.0429
1482,208388.45
1483,182275.086433333
1484,173586.686933333
1485,173472.002666667
1486,200747.855033333
1487,324706.969233333
1488,237679.697433333
1489,208177.2386
1490,209299.324066667
1491,190875.1415
1492,97732.8515
1493,177914.582733333
1494,301473.5604
1495,292528.604066667
1496,231234.752466667
1497,188119.826566667
1498,155794.2782
1499,153933.955466667
1500,161805.432666667
1501,172895.4789
1502,157617.4081
1503,285225.2382
1504,232136.137433333
1505,215087.5414
1506,181502.560333333
1507,237868.972533333
1508,191593.318
1509,160371.7449
1510,151764.497633333
1511,150354.941533333
1512,168135.681833333
1513,149645.054166667
1514,159565.133566667
1515,197871.7093
1516,160115.0053
1517,154069.052233333
1518,134418.826066667
1519,225707.891766667
1520,138774.351933333
1521,144081.751333333
1522,163809.6078
1523,115712.934566667
1524,124519.252866667
1525,126768.478133333
1526,128065.433
1527,107425.971433333
1528,128755.3523
1529,141608.113733333
1530,168639.763
1531,131734.667833333
1532,105764.59
1533,142971.561333333
1534,115746.1458
1535,153451.493666667
1536,118798.522966667
1537,92224.1936666667
1538,171708.787566667
1539,232601.6863
1540,120531.717466667
1541,143511.276366667
1542,140497.4585
1543,193871.436433333
1544,84740.7435333333
1545,106586.6387
1546,124572.921833333
1547,137552.966333333
1548,130435.102066667
1549,117357.3408
1550,141142.916233333
1551,119497.228433333
1552,145062.7799
1553,144491.8471
1554,112982.587066667
1555,168916.5382
1556,97178.4502333333
1557,124646.561066667
1558,95241.9
1559,124054.0677
1560,149231.366966667
1561,166700.514633333
1562,127344.0892
1563,126113.217333333
1564,163717.2235
1565,157518.640366667
1566,229622.815533333
1567,83934.6451666667
1568,221402.6672
1569,149529.279533333
1570,134724.316766667
1571,129654.3282
1572,143418.214033333
1573,239859.450166667
1574,125644.612433333
1575,216352.748366667
1576,230432.080766667
1577,204245.757966667
1578,148805.6788
1579,143293.955866667
1580,188453.495666667
1581,141683.6796
1582,127823.064933333
1583,331304.882466667
1584,240530.577433333
1585,140106.723133333
1586,77985.6102333333
1587,106874.400666667
1588,150806.5506
1589,100092.566066667
1590,133057.1703
1591,106483.2615
1592,130086.5437
1593,117865.263833333
1594,140010.301866667
1595,129126.2129
1596,230609.0298
1597,165422.4874
1598,190386.915533333
1599,189628.0283
1600,186431.362166667
1601,78299.7876666667
1602,113559.9977
1603,96923.2106
1604,280558.228766667
1605,254752.076666667
1606,170055.947066667
1607,178077.364166667
1608,217654.348866667
1609,198304.4525
1610,163202.133333333
1611,151245.707833333
1612,173781.226833333
1613,171525.882466667
1614,122794.327533333
1615,88321.2981333333
1616,82761.1392
1617,89876.1839666666
1618,127522.385533333
1619,135896.8276
1620,170969.066966667
1621,143409.590833333
1622,145687.2436
1623,286644.393466667
1624,220017.864033333
1625,128350.987533333
1626,171092.688266667
1627,185618.376933333
1628,279289.2281
1629,177726.806066667
1630,332803.636833333
1631,215817.872333333
1632,252024.877066667
1633,170188.150466667
